"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Sheriff Tiraspol","Moldova",1.5,"not out",2.75,54.5,":md:","Moldova: 2.75 points","Sheriff Stadium",46.838333,29.5575
"Shkendija Tetovo","North Macedonia",1.125,"out",1.625,69.2,":mk:","North Macedonia: 1.625 points","Gradski stadion Tetovo",42.018692,20.978179
"Silkeborg IF","Denmark",0.9,"not out",4.9,18.4,":dk:","Denmark: 4.9 points","Silkeborg Stadion",56.15777778,9.55305556
"Sivasspor","Turkey",1.6,"not out",8.4,19,":tr:","Turkey: 8.4 points","Sivas 4 Eylül Stadium",39.728612,36.984065
"SJK Seinäjoki","Finland",0.25,"out",2.625,9.5,":fi:","Finland: 2.625 points","OmaSp Stadion",62.778469444,22.815588888
"Slavia Praha","Czech Republic",2.375,"not out",6.25,38,":cz:","Czech Republic: 6.25 points","Sinobo Stadium",50.066944,14.471389
"Sligo Rovers","Ireland",1,"out",3.375,29.6,":ie:","Ireland: 3.375 points","The Showgrounds",54.270042,-8.487233
"Slovan Bratislava","Slovakia",2.625,"not out",4.5,58.3,":sk:","Slovakia: 4.5 points","Štadión Pasienky",48.166111,17.141111
"Sparta Praha","Czech Republic",0.125,"out",6.25,2,":cz:","Czech Republic: 6.25 points","Letná Stadium",50.099716,14.416122
"Spartak Trnava","Slovakia",0.5,"out",4.5,11.1,":sk:","Slovakia: 4.5 points","Štadión Antona Malatinského",48.373333,17.591667
"Sporting Braga","Portugal",0.833,"not out",9.667,8.6,":pt:","Portugal: 9.667 points","Estádio Municipal de Braga",41.5624,-8.4308
"Sporting CP Lisbon","Portugal",1.5,"not out",9.667,15.5,":pt:","Portugal: 9.667 points","Estádio José Alvalade",38.761194444,-9.160783333
"St Joseph's FC","Gibraltar",0.375,"out",0.875,42.9,":gi:","Gibraltar: 0.875 points","Victoria Stadium",36.149356,-5.350342
"St. Patrick's Athletic","Ireland",0.5,"out",3.375,14.8,":ie:","Ireland: 3.375 points","Richmond Park",53.340922,-6.316619
"Stade Rennais","France",1.667,"not out",8.917,18.7,":fr:","France: 8.917 points","Roazhon Park",48.107472222,-1.712861111
"Sturm Graz","Austria",1.2,"not out",4.5,26.7,":at:","Austria: 4.5 points","Merkur Arena",47.046111,15.454444
